item_id,lost_or_found,item_name,description,color,brand,location,user,timestamp
1,lost,Keychain,"Can't find my keychain (yellow), has a sticker.",yellow,Milton,Garden,Suma,2025-09-23 17:34:15
2,found,Keychain,"Picked up yellow keychain, belongs to someone.",yellow,Milton,Garden,Yash,2025-10-16 17:34:15
3,lost,Marker,"Missing marker (yellow), last seen near campus.",yellow,HP,Gym,Ananya,2025-11-06 17:34:15
4,found,Marker,Found a yellow marker with minor marks.,yellow,HP,Gym,Arjun,2025-10-07 17:34:15
5,lost,Notebook,L0st notebook (brown) bro pls help find.,brown,Samsung,Study Hall,Manoj,2025-11-24 17:34:15
6,found,Notebook,Notebook (brown) discovered near walkway.,brown,Samsung,Study Hall,Pooja,2025-10-10 17:34:15
7,lost,Bag,"I lost my grey bag, has scratches near the edge.",grey,Casio,Parking Area,Siri,2025-11-15 17:34:15
8,found,Bag,Found sum bag (grey) lol not sure whose.,grey,Casio,Parking Area,Manoj,2025-09-03 17:34:15
9,lost,Power Bank,"Can't find my power bank (silver), has a sticker.",silver,Samsung,Corridor,Ananya,2025-08-19 17:34:15
10,found,Power Bank,Found sum power bank (silver) lol not sure whose.,silver,Samsung,Corridor,Ananya,2025-11-13 17:34:15
11,lost,Laptop Bag,"Can't find my laptop bag (silver), has a sticker.",silver,Milton,Main Gate,Sneha,2025-08-16 17:34:15
12,found,Laptop Bag,Laptop Bag (silver) discovered near walkway.,silver,Milton,Main Gate,Harsha,2025-10-27 17:34:15
13,lost,Laptop Bag,"I lost my brown laptop bag, has scratches near the edge.",brown,Cello,Garden,Yash,2025-10-02 17:34:15
14,found,Laptop Bag,Laptop Bag (brown) discovered near walkway.,brown,Cello,Garden,Megha,2025-10-28 17:34:15
15,lost,Textbook,"Can't find my textbook (yellow), has a sticker.",yellow,Adidas,Bus Stop,Megha,2025-11-07 17:34:15
16,found,Tumbler,Found something totally unrelated.,brown,Puma,Garden,Megha,2025-08-18 17:34:15
17,lost,Wallet,"I lost my black wallet, has scratches near the edge.",black,Milton,Garden,Kavya,2025-10-08 17:34:15
18,found,Wallet,"black wallet found, looks used but fine.",black,Milton,Garden,Suma,2025-10-24 17:34:15
19,lost,Calculator,"I lost my white calculator, has scratches near the edge.",white,Nike,Parking Area,Megha,2025-11-19 17:34:15
20,found,Pencil Box,Object does not match any typical campus items.,yellow,Cello,Sports Ground,Deepak,2025-09-22 17:34:15
21,lost,Power Bank,"Missing power bank (yellow),x last seen near campus.",yellow,Dell,Garden,Pooja,2025-11-22 17:34:15
22,found,Calculator,Object does not match any typical campus items.,silver,None,Sports Ground,Yash,2025-09-06 17:34:15
23,lost,Mobile Case,"I lost my blue mobile case, has scratches near the edge.",blue,MI,Admin Block,Suma,2025-10-31 17:34:15
24,found,Pen Drive,Object does not match any typical campus itemsz.,grey,WildHorn,Gym,Kiran,2025-09-02 17:34:15
25,lost,Flask,"I lost my white flask, has scratches near the edge.",white,Nike,Parking Area,Ananya,2025-08-17 17:34:15
26,found,Flask,Found sum flask (white) lol not sure whose.,white,Nike,Parking Area,Nikhil,2025-10-12 17:34:15
27,lost,Wallet,"I lost my silver wallet, has scraztches near the edge.",silver,Fastrack,Auditorium,Amit,2025-09-30 17:34:15
28,found,ID Card,Object does not match any typical campus items.,pink,Fastrack,Library,Kiran,2025-08-28 17:34:15
29,lost,Umbrella,"My pink umbrella is gone, slightly damaged.",pink,Cello,Study Hall,Arjun,2025-08-18 17:34:15
30,found,Umbrella,Found sum umbrella (pink) lol !!not sure whose.,pink,Cello,Study Hall,Rahul,2025-09-25 17:34:15
31,lost,Keychain,"Can't find my keychain (white), has a sticker.",white,Dell,Study Hall,Ravi,2025-09-08 17:34:15
32,found,Keychain,"Picked up white keychain, belongs to someone.",white,Dell,Study Hall,Nikhil,2025-10-21 17:34:15
33,lost,Clipboard,"I lost my brown clipboard, has scratches near the edge.",brown,Lenskart,Bus Stop,Manoj,2025-09-16 17:34:15
34,found,Clipboard,Found a brown clipboard with minor marks.,brown,Lenskart,Bus Stop,Ananya,2025-10-27 17:34:15
35,lost,Notepad,"Dropped my silver notepad somewhere, idk where.",silver,Reebok,Canteen,Siri,2025-08-09 17:34:15
36,found,Notepad,"silver notepad found, looks used but fine.",silver,Reebok,Canteen,Deepak,2025-11-28 17:34:15
37,lost,Sketchbook,"I lost my silver sketchbook, has scratches near the edge.",silver,Pearson,Admin Block,Rohit,2025-10-21 17:34:15
38,found,Sketchbook,Found a silver sk etchbook with minor marks.,silver,Pearson,Admin Block,Ananya,2025-10-05 17:34:15
39,lost,Wallet,"Dropped my brown wallet somewhere, idk where.",brown,HP,Hostel Block A,Harsha,2025-08-12 17:34:15
40,found,Wallet,"Picked up brown wallet, belongs to som!!eone.",brown,HP,Hostel Block A,Pooja,2025-08-27 17:34:15
41,lost,Glasses,"I lost my white glasses, has scratches near the edge.",white,Cello,Bus Stop,Sneha,2025-11-25 17:34:15
42,found,Pen,Found something totally unrelated.,blue,Cello,Academic Block,Sneha,2025-08-04 17:34:15
43,lost,Pen Drive,"My red pen drive is gone, sli...ghtly damaged.",red,Cello,Main Gate,Vikas,2025-08-08 17:34:15
